trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",30,0,-109.78776736366618,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9851119396030626}",30,0,-88.38745028056462,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,1,-92.37325862970756,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.9559974818331}",25,0,-70.89767495215683,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-117.51918649686559,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9277434863285529}",25,0,-94.33512820243772,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-104.96501758668732,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9003245225862656}",20,0,-143.86250744466415,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.8869204367171575}",30,0,-107.05052465928374,"{0: 19, 1: 7, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.8737159116880344}",20,0,-61.80675595935905,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,2,-104.66454321715797,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.01, 'e': 0.8478937040879159}",30,16,-33.98645422855506,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.835270211411272}",30,0,-94.18418330637664,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8228346580560184}",20,12,-14.599096620786835,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-85.6212662032442,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.7985162187593771}",25,11,-106.31245105582455,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-101.55929468359001,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",1
18,False,"{'a': 0.01, 'e': 0.774916497961081}",25,0,-216.38449359453622,"{0: 11, 1: 1, 2: 8, 3: 3, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-66.31611961208388,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.7520142543193826}",20,0,-64.83068407194274,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,13,12.130659147849897,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.7297888742690568}",25,0,-223.1535507763623,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 5}",0
23,False,"{'a': 0.01, 'e': 0.7189237334319262}",30,5,6.28513648108753,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.7082203534678}",35,0,-160.65323590797723,"{0: 23, 1: 2, 2: 6, 3: 2, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,-158.54669604869792,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.6872892787909722}",20,0,-115.34217241958886,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,0,-76.8792085350438,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.6669768108584744}",20,0,-105.40985531953683,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-124.46403054284573,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.6472646670780347}",25,0,-106.83017285540603,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.6376281516217733}",35,0,-135.73315021784344,"{0: 20, 1: 7, 2: 5, 3: 2, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.6281351051896409}",25,0,-36.77202158649277,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-115.9460902635589,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.6095709072963093}",20,0,1.9236510575335237,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,10,-91.65899522164466,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.5915553643668151}",20,0,-64.8057578560358,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-35.27034583289481,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.5740722611964361}",20,8,-103.21067411052891,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 2}",1
39,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,12,-15.34985765545649,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.5571058618121739}",20,0,-42.54895779185338,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,0,-67.48458647964645,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.5406408953093166}",20,16,8.123312591035553,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,6,-43.253913200483055,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.01, 'e': 0.5246625421065929}",30,0,-35.97252358609869,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.5168513344916993}",25,17,9.911809041045077,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.5091564206075492}",20,0,-9.512184397851245,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.5015760690660556}",30,13,3.0137106549484445,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.4941085742561417}",20,0,-55.55301239643573,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,8,-116.70803794780748,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 3}",1
50,False,"{'a': 0.01, 'e': 0.4795054589748941}",20,3,-0.9444569783283587,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,10,0.9888813141519146,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.4653339309743134}",20,0,3.059804306528818,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,0,-12.237785204134742,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.4515812349225923}",20,0,-12.884159699256454,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.44485806622294116}",20,6,3.3611981324926274,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.43823499246494924}",25,15,-25.78878398237154,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,0,-122.01522766309935,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.42528319108227414}",20,10,3.196468498795791,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.418951549247639}",25,14,-2.270751652628112,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.4127141732790497}",30,17,3.856996335313873,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.40656965974059917}",20,8,3.7471734182470406,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.40051662609081884}",30,13,-57.84452075341716,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.39455371037160114}",30,2,-59.51895614800559,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.38867957090175304}",30,15,-28.237702280300915,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.38289288597511206}",30,21,16.752478249126963,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.37719235356315695}",20,0,30.967730323844325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
