trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.72931975765506,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,20,7.371599894823037,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.06115263372706,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.88343958200342,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.36159725923804,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.69234747803843,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,16,-10.290663735946925,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.6999723944364,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.90691642967715,"{0: 5, 1: 5, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,13,-71.06792595224147,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.37967465259051,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.62505076220012,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.431766684866,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.03072727178784,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.7849370949723,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.68427895453239,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.59664695055692,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-296.9347726772362,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.69632556745324,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.90512841662631,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.0822276713716,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-212.9077876190817,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,2,-161.7003147213856,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.68032561102422,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,10,-39.62381365984416,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-209.47216757674454,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.457977990146816,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-119.99475955080747,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-196.63229131184573,"{0: 5, 1: 4, 2: 6, 3: 4, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.24677437599257,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
